"session_id","name","exotel_call_sid"
"9161bb4a-b165-4143-b339-ab19db4bd9c5","Ayush ","8ab2e99703b94b6dcc9148fa6c821957"
"796278a5-ce21-41b3-b9ec-d3c881146495","Ayush ","5ab1d3ead2efbc4a0c1cac3e34f91957"
"5ff2c873-07b4-4aac-8a7c-e24a59db51a8","Ayush ","967079a48132461354e4a5aef60c1957"
"7cc5468c-84b6-4070-bfe7-f5af836852e7","Ayush ","039d3cce1040cc6cefdad0f32fcf1957"
"05558a37-150d-469e-9fef-a1d2f389ea67","Ayush ","f91f1a6f19cb81456c79319a23dc1957"
"88982f7c-2d0a-4bd2-ac54-43952ab97905","Ayush ","c089fa89d12508532875736697831957"
"120b3dad-6b88-4d7f-b418-c06c0a4d2a7d","Ayush ","19d81de3470bc6471361c663a18f1957"
"58848702-fccd-4dd6-8098-feb58d782467","Vishnu Vardhan","8deb7cee48135c10024bc42007db1957"
"bcc998b4-4404-46bf-811b-5913d5bb1b8f","Ayush ","c586df2c7668ac1a67adab9653901957"
"db41005e-b6c6-4217-b500-bf755a29da72","Ayush ","88995fedac6b085a0ca3550529901957"
"36a9c1ef-8b01-41d1-82a5-221ea1e05751","Ayush ","7b75f800f0c645283b6381849d2d1957"
"93d4233a-6359-425d-9e2e-5a22a8116198","Adit Lal","928afbc44a326e5c2491dfef57e11957"
"a13f4759-1ba4-4bef-825d-7026868213e4","Adit Lal","961cdfead199e5e0480aa817105d1957"
"41ef8937-2a95-4ddb-957a-db77d1979bb0","Adit Lal",NULL
"d94f4ebc-e4ad-4db8-9cd9-549573f9caf1","Ayush ","8ff7d7a5da96cfe731c7c4112ae31957"
"314a176f-eba4-4940-9744-0a928a6e5d09","Ayush ","c4cbe4eef4e288d417875a20782a1957"
"671fa8a7-fefd-4f31-a2cb-4437df5ea0a2","Vishnu Vardhan",NULL
"383162e4-94af-4897-adf0-8b3ad32e6067","Vishnu Vardhan","979659cf4b859ebf6b3d02a4c3a41957"
"0cd5ad97-65e9-44b3-be95-8adccfde5483","Vishnu Vardhan",NULL
"e358ffc8-43e9-4ded-bd14-f8407058a0ce","Vishnu Vardhan","5374ac812ca61e08470913dfca1c1957"
"c0a82848-58d8-4b5c-aff7-46b50ce86966","Vishnu Vardhan",NULL
"7599dda3-559c-4ae7-b160-314c36a71057","Vishnu Vardhan","e610f0e702c3036f3b8aa1f64ff51957"
"f7db9b5c-4ec4-4b12-a58b-8419f3d37895","Vishnu Vardhan","eba82c489a89baf40a78b06faef91957"
"2399f1e0-f7ce-420e-929e-5d44867180e4","Vishnu Vardhan","1316f13fe5e9c777ddcb7871723c1957"
"18c07d79-0228-4708-8840-3d9030dece1e","Vishnu Vardhan","d82c5f9159072a021d6083bf192c1957"
"3a4479bf-dc0e-4815-acca-146fa391c4a2","Vishnu Vardhan","ecba7ab0c436124320fdefc775dd1957"
"ad33e0ee-6d34-42fc-baaa-99ea797a9dcc","Vishnu Vardhan","811ae60568e9d83163229cf06fe71957"
"d020c30f-7771-4a92-a4f7-eb24ea3c0e92","Vishnu Vardhan","ae768faaa08c41a4c4caa7039b391957"
"e56efc75-c2dd-4dfb-b720-ff8bfb7a343f","Vishnu Vardhan","0b2b2055e64cfb507f4c7ef503601957"
"2669313d-0ebd-4270-94fa-d5ebbe8b0067","Vishnu Vardhan","c7e1f552e26289b457f88a7d81731957"
